T_years,duration_hours,intensity_mm_per_hr
100,0.486199,217.2983
100,0.497479,213.6334
100,0.509021,210.0303
100,0.520831,206.488
100,0.532916,203.0054
100,0.54528,199.5815
100,0.557931,196.2154
100,0.570876,192.9061
100,0.584121,189.6526
100,0.597674,186.4539
100,0.611541,183.3092
100,0.625729,180.2176
100,0.640247,177.1781
100,0.655102,174.1898
100,0.670301,171.252
100,0.685853,168.3637
100,0.701766,165.5241
100,0.718048,162.7324
100,0.734708,159.9878
100,0.751754,157.2894
100,0.769196,154.6366
100,0.787042,152.0286
100,0.805303,149.4645
100,0.823987,146.9436
100,0.843105,144.4653
100,0.862666,142.0288
100,0.882681,139.6334
100,0.903161,137.2783
100,0.924115,134.963
100,0.945556,132.6868
100,0.967495,130.4489
100,0.989942,128.2488
100,1.01291,126.0857
100,1.036411,123.9592
100,1.060457,121.8685
100,1.085062,119.8131
100,1.110237,117.7924
100,1.135996,115.8057
100,1.162353,113.8526
100,1.189321,111.9323
100,1.216915,110.0445
100,1.245149,108.1885
100,1.274038,106.3638
100,1.303598,104.5699
100,1.333843,102.8063
100,1.364791,101.0724
100,1.396456,99.3677
100,1.428856,97.6918
100,1.462007,96.0441
100,1.495928,94.4243
100,1.530636,92.8317
100,1.566149,91.266
100,1.602486,89.7268
100,1.639666,88.2135
100,1.677708,86.7257
100,1.716634,85.263
100,1.756462,83.8249
100,1.797215,82.4112
100,1.838913,81.0212
100,1.881578,79.6547
100,1.925234,78.3113
100,1.969902,76.9905
100,2.015606,75.692
100,2.062372,74.4154
100,2.110222,73.1603
100,2.159182,71.9264
100,2.209278,70.7133
100,2.260537,69.5207
100,2.312984,68.3482
100,2.366649,67.1954
100,2.421559,66.0621
100,2.477743,64.9479
100,2.53523,63.8525
100,2.594051,62.7756
100,2.654237,61.7168
100,2.715819,60.6759
100,2.77883,59.6526
100,2.843303,58.6465
100,2.909272,57.6574
100,2.976772,56.6849
100,3.045837,55.7289
100,3.116505,54.789
100,3.188813,53.8649
100,3.262798,52.9565
100,3.338499,52.0633
100,3.415958,51.1852
100,3.495213,50.3219
100,3.576307,49.4732
100,3.659283,48.6388
100,3.744183,47.8185
100,3.831054,47.012
100,3.91994,46.2191
100,4.010889,45.4396
100,4.103947,44.6732
100,4.199165,43.9197
100,4.296592,43.179
100,4.396279,42.4507
100,4.498279,41.7348
100,4.602646,41.0309
100,4.709434,40.3389
100,4.8187,39.6585
100,4.930501,38.9897
100,5.044896,38.3321
100,5.161945,37.6856
100,5.28171,37.05
100,5.404254,36.4251
100,5.52964,35.8107
100,5.657936,35.2068
100,5.789209,34.613
100,5.923527,34.0292
100,6.060961,33.4553
100,6.201585,32.891
100,6.345471,32.3363
100,6.492695,31.7909
100,6.643335,31.2547
100,6.797471,30.7276
100,6.955182,30.2093
100,7.116552,29.6998
100,7.281667,29.1989
100,7.450613,28.7065
100,7.623478,28.2223
100,7.800354,27.7463
100,7.981334,27.2784
100,8.166512,26.8183
100,8.355988,26.366
100,8.549859,25.9213
100,8.748228,25.4841
100,8.9512,25.0543
100,9.158881,24.6317
100,9.371381,24.2163
100,9.588811,23.8079
100,9.811286,23.4063
100,10.038922,23.0116
100,10.27184,22.6235
100,10.510162,22.2419
100,10.754013,21.8668
100,11.003522,21.498
